fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-agorregi/webtur00-content/es/,Agorregi,"El restaurante Agorregi, ubicado en el barrio de Igara de San Sebastián, ofrece un servici...",restauracion,Restauración,Donostia / San Sebastián,gipuzkoa,"Portuetxe, 14",43.30240464,-2.011846,943 224 328,agorregi@agorregi.com,https://agorregi.com/,True,False,True,False,True,2
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aizian/webtur00-content/es/,Aizian,Este moderno y acogedor restaurante fue diseñado por el arquitecto Ricardo Legorreta y est...,restauracion,Restauración,Bilbao,bizkaia,"Lehendakari Leizaola, 29. (H. Meliá Bilbao)",43.26751936,-2.94180662,944 280 039,aizian@restaurante-aizian.com,https://www.restaurante-aizian.com/,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-akelarre/webtur00-content/es/,Akelarre,Pedro Subijana desarrolla desde 1970 una cocina personal que ha convertido el Akelarre en un cl&a...,restauracion,Restauración,Donostia / San Sebastián,gipuzkoa,"Padre Orcolaga, 56",43.3077501796958,-2.043134673141481,943 311 209,restaurante@akelarre.net,http://www.akelarre.net,True,True,True,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-alameda/webtur00-content/es/,Alameda,La tercera generación es quien está a cargo de este negocio familiar ubicado en el ...,restauracion,Restauración,Hondarribia,gipuzkoa,"Minasorroeta, 1",43.36124178,-1.79269146,943 642 789,info@restaurantealameda.net,https://restaurantealameda.net/,True,False,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-almiketxu/webtur00-content/es/,Almiketxu,Es un caserío típico vasco y está regentado por la familia Hormaetxea-Alboni...,restauracion,Restauración,Bermeo,bizkaia,"Almike Auzoa, 8",43.40890469,-2.73422921,946 880 925,almiketxu@gmail.com,https://almiketxu.com/,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andere/webtur00-content/es/,Andere,Este restaurante abrió sus puertas en 1976 y hoy en día es una referencia cl&aacute...,restauracion,Restauración,Vitoria-Gasteiz,araba,"Gorbea, 8",42.84935660563213,-2.67958017909848,945 214 930,info@restauranteandere.com,https://www.restauranteandere.com/,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andra-mari/webtur00-content/es/,Andra Mari,Está ubicado en un hermoso caserío del siglo XIII junto a la iglesia de Andra Mari ...,restauracion,Restauración,Galdakao,bizkaia,"Bº Elexalde, 22",43.23503044,-2.83249703,944 560 005,andramari@andra-mari.com,https://andra-mari.com/es/index.php,True,True,True,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aretxondo/webtur00-content/es/,Aretxondo,Es un bello caserío vasco donde ofrecen una combinación de lo clásico y lo m...,restauracion,Restauración,Galdakao,bizkaia,"Bº Elexalde, 20",43.23358348966164,-2.8327792843780557,944 567 671,aretxondo@aretxondo.com,https://aretxondo.es/,True,False,True,False,False,2
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-arkupe/webtur00-content/es/,Arkupe,El restaurante Arkupe se encuentra situado en un edificio del siglo XVII en el mismísimo c...,restauracion,Restauración,Vitoria-Gasteiz,araba,"Mateo Moraza, 13",42.84701683,-2.67229971,945 230 080,reservas@restaurantearkupe.com,https://www.restaurantearkupe.com/,True,True,False,True,False,2
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-arlobi/webtur00-content/es/,Arlobi,"El restaurante fue inaugurado en el año 1982. Ofrece platos de la cocina tradicional, junt...",restauracion,Restauración,Zuia,araba,"Elizalde, 31",42.968627,-2.825472200000036,945 430 212,,,True,False,False,False,False,0
,https://turismoa.euskadi.eus/es/restaurantes/asador-casa-nicolas/webtur00-content/es/,Asador Nicolás,"Asador tolosarra de alto nivel gastronómico, especializado en chuleta a la parrilla.Abri&o...",restauracion,Restauración,Tolosa,gipuzkoa,"Paseo Zumalakarregi, 7",43.0507807,-2.1744642,943 654 759,info@asadorcasanicolas.com,https://asadornicolas.com/,True,True,True,False,True,0
,https://turismoa.euskadi.eus/es/restaurantes/asador-san-martin/webtur00-content/es/,San Martin,Asador situado en el barrio San Martín y con vistas a la playa. Dispone de una carta varia...,restauracion,Restauración,Orio,gipuzkoa,"Barrio San Martín, s/n",43.28076707095564,-2.1212947368621826,943 580 058,info@asadorsanmartin.com,http://www.asadorsanmartin.com/,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/asador-asador-urkiola/webtur00-content/es/,Urkiola,En el asador Urkiola ubicado en Beasain podremos degustar carnes y pescados de gran calidad con u...,restauracion,Restauración,Beasain,gipuzkoa,"Kale Nagusia, 7",43.04729034,-2.19531265,943 086 131,,,False,True,False,False,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-astelena/webtur00-content/es/,Astelena,Está ubicado en la parte vieja de San Sebastián y ofrecen cocina vasca moderna.Ande...,restauracion,Restauración,Donostia / San Sebastián,gipuzkoa,"Calle Euskal Herria, 3",43.32415624,-1.98247745,943 425 867,info@restauranteastelena.com,https://restauranteastelena.com/,True,True,True,True,False,2
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-atalaia/webtur00-content/es/,Atalaia,Dispone de una bodega para acompañar cada plato con el vino que corresponda. La carta est&...,restauracion,Restauración,Irun,gipuzkoa,"Aritz Ondo, 69 (Centro Comercial Txingudi)",43.32238144,-1.83356007,943 629 433,info@hotelatalaia.com,https://hotelatalaia.com/restaurante,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-azkue/webtur00-content/es/,Azkue,"Los fogones del Restaurante Azkue, en su cuarta generación, esmeran su trabajo para poder ...",restauracion,Restauración,Getaria,gipuzkoa,Alto de Meagas,43.28657468,-2.20608351,943 830 554,,https://hotelazkue.com/restaurante.php,True,True,True,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-azurmendi/webtur00-content/es/,Azurmendi,"Azurmendi está ubicado en un bello paraje y rodeado de verde.La cocina de su cocinero, Ene...",restauracion,Restauración,Larrabetzu,bizkaia,"Bº Legina, s/n",43.26057330760114,-2.815940000327153,944 558 359,info@azurmendi.biz,https://azurmendi.restaurant/,True,False,True,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-baserri-maitea/webtur00-content/es/,Baserri Maitea,"Ubicado en un hermoso caserío del siglo XVIII sobre la Reserva de Urdaibai, ofrece una coc...",restauracion,Restauración,Forua,bizkaia,"Atxondo, s/n",43.339609,-2.680343,946 253 408,baserrimaitea@baserrimaitea.com,https://www.baserrimaitea.com/,True,True,True,False,True,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-bedua/webtur00-content/es/,Bedua,"Un lugar indispensable para los amantes de los pescados y carnes a la brasa, siempre bien acompa&...",restauracion,Restauración,Zumaia,gipuzkoa,Barrio Bedua,43.279111196115,-2.25432157516479,943 860 551,bedua@bedua.es,https://www.bedua.eus/,True,True,True,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-beltz/webtur00-content/es/,Beltz,Beltz  está ubicado en la azotea (séptima planta) del THE ARTIST GRAND HOTEL O...,restauracion,Restauración,Bilbao,bizkaia,"Alameda Mazarredo, 61",43.26753037,-2.93374754,944 253 300,reservations@hoteldominebilbao.com,,True,True,False,True,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-beti-jai/webtur00-content/es/,Beti-Jai,Más de treinta años acreditan a este clásico de la Parte Vieja donostiarra.S...,restauracion,Restauración,Donostia / San Sebastián,gipuzkoa,"Fermín Calbetón, 22",43.323312961612686,-1.984512114715244,943 441 944,info@betijaberria.es,https://betijaiberria.eus/,True,True,False,False,False,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-betixu/webtur00-content/es/,Betixu,Restaurante con amplias terrazas idóneo para disfrutar de la naturaleza. De gran calidad t...,restauracion,Restauración,Iurreta,bizkaia,"Iturburu, 9",43.17772937,-2.62707117,944 717 154,newbetixu@gmail.com,http://www.betixu.es/,True,True,True,False,True,0
,https://turismoa.euskadi.eus/es/restaurantes/restaurante-bideko/webtur00-content/es/,Bideko,"El restaurante Bideko está situado en un antiguo caserío del siglo XVII, en el mism...",restauracion,Restauración,Amurrio,araba,"Bideko, s/n.",43.02597196407113,-2.9559245873108466,945 890 633,info@restaurantebideko.com,https://restaurantebideko.com/,True,False,True,False,False,0
